index,affiliation,application_type,prof_category_1,prof_category_2,employment_type,expected_experience,location,prof_name,subscr_product_name,gross_monthly_salary HUF,gross_monthly_salary EUR,language_nationality,language_level
1892,GVS Hungary Kft,website,"Sales, Trade",Commercial Assistant,full time,1-3 years,"Pest_county,_Budapest",Kereskedelmi munkatárs,optimum,600000.0,1488.833746898263,english,intermediate
1893,Búzakovász Kft.,website,Skilled Labour,"Baker, Confectioner",full time,not required,"Pest_county,_Budapest",PÉK / éjszakai műszak,start_prem,,,none,none
1894,BAM Services Kft.,website,"Law, Legal Advisory","Solicitor, Legal Advisor, Legal Counsellor",full time,5-10 years,"Pest_county,_Budapest",Jogász,optimum,,,english,intermediate
1895,Koton Textil Korlátolt Felelősségű Társaság,website,"Sales, Trade",Store Manager,full time,3-5 years,"Pest_county,_Budapest",Üzletvezető-helyettes,optimum,,,english,intermediate
1896,Glass Work Kft.,website,"Manual Work, Unskilled Work, Trained Work",Trained Work,full time,not required,"Pest_county,_Budapest",Segédmunkás,optimum,,,none,none
1898,IVANICS CSOPORT,karrierlink,Skilled Labour,"Car Repairer, Car Service  Advisor",full time,1-3 years,"Pest_county,_Budapest",Motorkerékpár szerelő,start_prem,,,none,none
1899,Kempinski Hotel Budapest Zrt.,website,Skilled Labour,"Waiter, Waitress, Barista",full time,1-3 years,"Pest_county,_Budapest",Bár felszolgáló,start_prem,,,english,higheradvanced
1901,Multi Alarm Zrt.,website,Skilled Labour,Personal and property protection,full time,1-3 years,Országos,Kivonuló járőr,optimum,,,none,none
1902,Menzies Aviation (Hungary) Kft.,website,Skilled Labour,Machine Repairer,full time,1-3 years,"Pest_county,_Budapest",Karbantartó / Járműszerelő (Repülőtéri munkavégzés),start_prem,,,none,none
1903,DACHSER Hungary Kft.,website,"Transportation, Procurement, Logistics","Logistic Specialist, Transport Organizer",full time,1-3 years,"Pest_county,_Budapest",Fuvarszervező,normal,,,english,basic
1904,Yolofood Hungary Kft,website,"Manual Work, Unskilled Work, Trained Work",Kitchen Work,full time,not required,"Pest_county,_Budapest",Konyhai kisegítő (munkaidő 23.00-08.00),start_prem,,,none,none
1905,CARBIKE MAGYARORSZÁG Kft.,website,Skilled Labour,"Car Repairer, Car Service  Advisor",full time,1-3 years,"Pest_county,_Budapest","Autószerelő, gépjárműszerelő",optimum,833333.0,2067.8238213399504,none,none
1906,Sport Vision Kft.,website,Skilled Labour,"Shop Assistant, Cashier",full time,1-3 years,"Pest_county,_Budapest",Eladó,start_prem,400000.0,992.5558312655087,english,intermediate
1907,Vantage Towers Zártkörűen Működő Részvénytársaság,website,Engineer,Project Management,full time,1-3 years,Pest_county,Projektmenedzser,optimum,,,english,intermediate
1908,CEVA-Phylaxia Oltóanyagtermelő Zrt. (Ceva Sante Animale),karrierlink,Skilled Labour,"Storekeeper, Other depository skilled work",full time,1-3 years,Budapest,Raktárkezelő,optimum,,,none,none
1909,BKV Zrt.,karrierlink,"IT Operation, Telecommunication","System operator, Maintenance Staff",full time,1-3 years,"Pest_county,_Budapest",Távközlési végberendezés üzemeltető,normal,,,none,none
1910,ARCELORMITTAL Distribution Hungary Kft.,website,"Sales, Trade",Regional Sales Representative,full time,3-5 years,Pest_county,Területi Képviselő (Budapest-Pest megye),optimum_complex,,,none,none
