index,affiliation,application_type,prof_category_1,prof_category_2,employment_type,expected_experience,location,prof_name,subscr_product_name,gross_monthly_salary HUF,gross_monthly_salary EUR,language_nationality,language_level
5366,MADS - Márton Áron Iskolaszövetkezet,website,"Client Services, Customer Services",Call Center Services,full time,not required,Pest_county,Nyári telefonos ügyintéző diákmunka német nyelven,normal,504000.0,1250.6203473945409,german,higheradvanced
5368,Búzakovász Kft.,website,Skilled Labour,"Baker, Confectioner",full time,not required,"Pest_county,_Budapest",PÉK / éjszakai műszak,start_prem,,,none,none
5369,Coca-Cola HBC Magyarország Kft.,karrierlink,"Sales, Trade",Regional Sales Representative,full time,1-3 years,Pest_county,Üzletfejlesztési képviselő - HoReCa Food aggregator (határozott idő),optimum,,,none,none
5370,KSISTERS.HU Kft.,website,Skilled Labour,"Shop Assistant, Cashier",full time,1-3 years,"Pest_county,_Budapest",Értékesítő / Értékesítési asszisztens (koreai kozmetikumok),normal,504000.0,1250.6203473945409,english,intermediate
5371,MADS - Márton Áron Iskolaszövetkezet,website,"Marketing,  Media, PR","Host, hostess",full time,not required,Országos,Kérdőív lekérdező diákmunka,normal,336840.0,835.8312655086849,none,none
5372,MADS - Márton Áron Iskolaszövetkezet,website,"Client Services, Customer Services",Online Customer Service,full time,not required,Pest_county,Telephone clerk student job in German,normal,504000.0,1250.6203473945409,english,intermediate
5373,MADS - Márton Áron Iskolaszövetkezet,website,"Administration, Assistance, Office Work",Personal Assistant,full time,not required,"Pest_county,_Budapest",Czeh presenter - Student job,normal,,,english,higheradvanced
5374,MADS - Márton Áron Iskolaszövetkezet,website,"Manual Work, Unskilled Work, Trained Work",Trained Work,full time,not required,Pest_county,Kürtőskalács készítő - diákmunka - Budapest,normal,280896.0,697.0124069478908,english,intermediate
5375,MADS - Márton Áron Iskolaszövetkezet,website,"Catering, Hotel, Tourism",Restaurant Catering,full time,not required,"Pest_county,_Budapest",Fagyiárus diákmunka - Aréna,normal,317520.0,787.8908188585608,english,intermediate
5376,MADS - Márton Áron Iskolaszövetkezet,website,Skilled Labour,"Waiter, Waitress, Barista",full time,not required,"Pest_county,_Budapest",Fagyiárus diákmunka - Mammut,normal,317520.0,787.8908188585608,english,intermediate
5377,Star Park Holding Zrt.,website,"Administration, Assistance, Office Work","Administrator, Document Manager",full time,1-3 years,"Pest_county,_Budapest",Back office munkatárs,normal,500000.0,1240.6947890818858,english,intermediate
5378,MADS - Márton Áron Iskolaszövetkezet,website,"Client Services, Customer Services",Call Center Services,full time,not required,"Pest_county,_Budapest",Operátori diákmunka román nyelven - XIII. kerület,normal,386400.0,958.8089330024814,english,intermediate
5379,MADS - Márton Áron Iskolaszövetkezet,website,"Law, Legal Advisory","Law Clerk, Legal Assistant",full time,not required,"Pest_county,_Budapest",Jogi asszisztens diákmunka,normal,336840.0,835.8312655086849,none,none
5380,MADS - Márton Áron Iskolaszövetkezet,website,"Client Services, Customer Services",Call Center Services,full time,not required,Pest_county,Nyári telefonos ügyintéző diákmunka német nyelven,normal,504000.0,1250.6203473945409,german,higheradvanced
5381,MADS - Márton Áron Iskolaszövetkezet,website,"Client Services, Customer Services",Call Center Services,full time,not required,"Pest_county,_Budapest",Telefonos operátori diákmunka - XIII. kerület,normal,361200.0,896.2779156327543,english,intermediate
5382,MADS - Márton Áron Iskolaszövetkezet,website,"Client Services, Customer Services",Call Center Services,full time,not required,Pest_county,Telefonos ügyintéző diákmunka német nyelven,normal,504000.0,1250.6203473945409,german,higheradvanced
5383,MADS - Márton Áron Iskolaszövetkezet,website,"Manual Work, Unskilled Work, Trained Work",Other Manual Work,full time,not required,"Pest_county,_Budapest",Minigolfpályán történő kisegítés júniustól - Diákmunka,normal,280896.0,697.0124069478908,english,intermediate
5384,CRITERION Készpénzlogisztikai Kft.,website,"Manual Work, Unskilled Work, Trained Work","Handling, Loading",full time,not required,Pest_county,Éjszakás postázó,normal,,,none,none
5385,MADS - Márton Áron Iskolaszövetkezet,website,"Manual Work, Unskilled Work, Trained Work",Other Manual Work,full time,not required,"Pest_county,_Budapest",Raktári kisegítés/Csomagolás - diákmunka - IX. kerület,normal,398160.0,987.9900744416874,none,none
5386,MADS - Márton Áron Iskolaszövetkezet,website,"Catering, Hotel, Tourism",Restaurant Catering,full time,not required,Pest_county,Diákmunka a Pizza Me csapatában! -Budapest,normal,327600.0,812.9032258064516,english,intermediate
5387,MADS - Márton Áron Iskolaszövetkezet,website,"Administration, Assistance, Office Work","Administrator, Document Manager",full time,not required,"Pest_county,_Budapest",HR Intern– Polish-speaking (Foreigners are welcome!),normal,504000.0,1250.6203473945409,english,intermediate
5390,Coca-Cola HBC Magyarország Kft.,karrierlink,"Sales, Trade",Regional Sales Representative,full time,1-3 years,Pest_county,Üzletfejlesztési képviselő - HoReCa Food aggregator (határozott idő),optimum,,,none,none
5391,Búzakovász Kft.,website,Skilled Labour,"Baker, Confectioner",full time,not required,"Pest_county,_Budapest",PÉK / éjszakai műszak,start_prem,,,none,none
5393,Semmelweis Egyetem FOK Kari Gazdasági Igazgatósága,website,"HR, Human Relations",HR Administration,full time,1-3 years,"Pest_county,_Budapest",HR ügyintéző,normal,,,none,none
5394,Rákosmente Kft.,website,"Manual Work, Unskilled Work, Trained Work",Other Manual Work,full time,not required,"Pest_county,_Budapest",Kertészeti segédmunkás,start,335000.0,831.2655086848636,none,none
5395,Prima Maroni Kft.,website,"Manual Work, Unskilled Work, Trained Work",Machine Operator,full time,not required,"Pest_county,_Budapest",Fizikai munkás / gépkezelő,start_prem,446969.0,1109.1042183622828,none,none
5396,ECOOL Kft.,website,"Manual Work, Unskilled Work, Trained Work",Trained Work,full time,not required,"Pest_county,_Budapest",Kenőanyag szervízmunkatárs (Budapest III.kerület),start,469696.0,1165.498759305211,none,none
5397,H.N.H. Kft.,website,Skilled Labour,Other Skilled Work,full time,1-3 years,"Pest_county,_Budapest",Karosszéria lakatos munkafelvevő,start,984848.0,2443.7915632754343,none,none
5398,Olajág Otthonok,website,"Healthcare, Pharmaceutical Industry",Social Worker,full time,1-3 years,"Pest_county,_Budapest",Terápiás munkatárs,normal,530303.0,1315.8883374689826,none,none
5399,GÁPA Kft.,website,Skilled Labour,"Shop Assistant, Cashier",full time,1-3 years,"Pest_county,_Budapest",Bolti eladó,start_prem,575757.0,1428.6774193548388,english,basic
5400,GÁPA Kft.,website,Skilled Labour,"Shop Assistant, Cashier",full time,1-3 years,"Pest_county,_Budapest",Bolti eladó,start_prem,545454.0,1353.483870967742,english,basic
5401,ENTER-GREEN BAU Kft.,website,Skilled Labour,"Driver, Chauffeur, Courier",full time,not required,"Pest_county,_Budapest",Futár/Csomagkézbesítő,start_prem,400000.0,992.5558312655087,none,none
5402,SAtech Szerviz Kft.,website,Skilled Labour,Air Conditioning Technician,full time,not required,Országos,Klímaszerelő / villanyszerelő,start_prem,,,none,none
5403,HMEI Zrt.,karrierlink,Skilled Labour,"Security Guard, Guard, Doorman",full time,not required,"Pest_county,_Budapest",Fegyveres biztonsági őr gyakornok - Budapest,optimum,,,none,none
5404,PannonDiák Iskolaszövetkezet,website,"Client Services, Customer Services",Personal Costumer Service,full time,not required,"Pest_county,_Budapest",Információs koordinátor- Árkád Infó pult,normal,510363.0,1266.409429280397,english,basic
5405,PRESIDENTE OKISZ Kft.,website,"Administration, Assistance, Office Work","Administrator, Document Manager",full time,1-3 years,"Pest_county,_Budapest",Pénzügyi asszisztens,optimum_complex,,,english,basic
5406,WHC Diák Iskolaszövetkezet,karrierlink,"Manual Work, Unskilled Work, Trained Work","Handling, Loading",full time,starter,"Pest_county,_Budapest",repülőtéri rakodó diákmunka (WHC022827),normal,,,none,none
5407,WHC Diák Iskolaszövetkezet,karrierlink,Skilled Labour,"Shop Assistant, Cashier",full time,starter,"Pest_county,_Budapest",Rendelés összekészítő gyűjtőpozíció (WHC022692) - Diákmunka,normal,,,hungarian,higheradvanced
5408,MŰISZ Iskolaszövetkezet,karrierlink,"Sales, Trade",Sales Representative,full time,not required,"Pest_county,_Budapest",Diákmunka - Programozás oktatása (III. kerület),normal,,,hungarian,nativespeaker
5409,Mind-Diák Szövetkezet,ats,"Marketing,  Media, PR",Marketing,full time,not required,Pest_county,Telefonos közvéleménykutató - Diákmunka,normal,310800.0,771.2158808933002,none,none
5410,Óbudai Vagyonkezelő Nonprofit Zrt.,website,Skilled Labour,Plumbing-gas-heating,full time,1-3 years,"Pest_county,_Budapest","Víz-, Gáz-, Fűtésszerelő",start_prem,,,none,none
5411,Oktatási Hivatal,website,IT Development,"Programmer, Developer",full time,5-10 years,"Pest_county,_Budapest",Senior java fejlesztő,normal,,,none,none
5412,Coca-Cola HBC Magyarország Kft.,karrierlink,"Sales, Trade",Regional Sales Representative,full time,1-3 years,Pest_county,Üzletfejlesztési képviselő - HoReCa Food aggregator (határozott idő),optimum,,,none,none
5413,Búzakovász Kft.,website,Skilled Labour,"Baker, Confectioner",full time,not required,"Pest_county,_Budapest",PÉK / éjszakai műszak,start_prem,,,none,none
5414,Cziniel Üzemeltető Kft.,website,Skilled Labour,"Waiter, Waitress, Barista",full time,1-3 years,"Pest_county,_Budapest",Cukrászdai Pultos - Cziniel Cukrászda és Találkozóhely,start_prem,,,none,none
5415,JUSZT Optika Kft.,website,Skilled Labour,"Shop Assistant, Cashier",full time,1-3 years,"Pest_county,_Budapest","Látszerész, Eladó",start_prem,,,none,none
5416,GB Group Kft.,website,"Building Industry, Real Estate",Project Management,full time,3-5 years,Pest_county,Épületgépész projektvezető/ Gépészmérnök,optimum,,,none,none
5417,Nomad Bakers Kft.,website,Skilled Labour,"Baker, Confectioner",full time,starter,"Pest_county,_Budapest",Pék,start_prem,,,none,none
5418,GI Group Hungary Kft,website,Skilled Labour,Electrician,full time,starter,Pest_county,Villanyszerelő,normal,,,hungarian,nativespeaker
5419,HUNGAROPHARMA Zrt,website,"Administration, Assistance, Office Work",Professional Assistant,full time,1-3 years,"Pest_county,_Budapest",Kereskedelmi asszisztens,normal,,,none,none
5420,CHONGRO EUROPE Kft.,website,"Transportation, Procurement, Logistics","Economization, Procurement",full time,1-3 years,"Pest_county,_Budapest",Beszerző munkatárs,normal,681818.0,1691.8560794044665,english,intermediate
5421,FERN STREET INVEST Kft,website,Engineer,Architect,full time,1-3 years,"Pest_county,_Budapest",Építésvezető,normal,1136363.0,2819.7593052109182,none,none
5422,CIB Bank Zrt.,karrierlink,"Bank, Insurance, Brokering","Bank, Insurance Agent",full time,not required,"Pest_county,_Budapest",Lakossági banki tanácsadó (Mátyásföld),normal,,,none,none
5423,UniCredit Bank Zrt.,karrierlink,"Bank, Insurance, Brokering","Bank, Insurance Agent",full time,not required,"Pest_county,_Budapest",Nemzetközi fizetésforgalom szenior szakember,normal,,,english,intermediate
5424,HIRO-TRANS Kft.,website,Skilled Labour,"Driver, Chauffeur, Courier",full time,not required,"Pest_county,_Budapest",Gépkocsivezető,start,946969.0,2349.7990074441686,none,none
5425,MŰISZ Iskolaszövetkezet,karrierlink,"Finance, Accounting",Financial Assistant,full time,not required,"Pest_county,_Budapest",Diákmunka - Financial and Forwarding Administrator,normal,,,english,intermediate
5427,UniCredit Bank Zrt.,karrierlink,Business Supporting Centres,"Client Support, Administration",full time,not required,"Pest_county,_Budapest",Ügyfél-és számlakezelési munkatárs,normal,,,none,none
5428,UniCredit Bank Zrt.,karrierlink,"Law, Legal Advisory","Bank Law, Finance Sector",full time,1-3 years,"Pest_county,_Budapest",Compliance tanácsadó,normal,,,english,higheradvanced
5429,BECK AND PARTNERS Kft.,ats,Engineer,Civil Engineer,full time,3-5 years,Pest_county,Építésvezető,normal,,,none,none
5430,Pizza Forte Kft.,website,"Client Services, Customer Services",Dispatcher,full time,not required,"Pest_county,_Budapest",Call center munkatárs,normal,458181.0,1136.925558312655,none,none
5432,GAUSS INGATLAN ZRT.,website,Skilled Labour,"Security Guard, Guard, Doorman",full time,not required,"Pest_county,_Budapest","Éjjeli őr
- Portás",start,295272.0,732.6848635235732,none,none
5433,Fővárosi Önkormányzat Kútvölgyi Úti,website,"Manual Work, Unskilled Work, Trained Work",Cleaning,full time,1-3 years,"Pest_county,_Budapest",Takarító / Takarítónő,start,349000.0,866.0049627791564,none,none
5434,Coca-Cola HBC Magyarország Kft.,karrierlink,"Sales, Trade",Regional Sales Representative,full time,1-3 years,Pest_county,Üzletfejlesztési képviselő - HoReCa Food aggregator (határozott idő),optimum,,,none,none
5435,Búzakovász Kft.,website,Skilled Labour,"Baker, Confectioner",full time,not required,"Pest_county,_Budapest",PÉK / éjszakai műszak,start_prem,,,none,none
5436,Pannon Work Iskolaszövetkezet,karrierlink,"Transportation, Procurement, Logistics",Supply Chain,full time,not required,Pest_county,Leltározási nyugdíjas munka - Diákmunka,normal,,,none,none
5437,Royal Borház Európa Kft.,website,"Manual Work, Unskilled Work, Trained Work",Machine Operator,full time,3-5 years,"Pest_county,_Budapest",Lézergravírozó / Rendszerfelügyelő,start_prem,775000.0,1923.076923076923,none,none
5438,Műegyetemi Hallgatói Kft.,website,"Manual Work, Unskilled Work, Trained Work","Handling, Loading",full time,1-3 years,Budapest,Raktáros,start_prem,454545.0,1127.9032258064517,none,none
5439,Óbudai Egyetem Kandó Kálmán,website,"Education, Science, Sports",Tutor,full time,3-5 years,"Pest_county,_Budapest","Egyetemi oktató, adjunktus - Villamosmérnök",normal,830000.0,2059.5533498759305,english,intermediate
5440,Magyar Pünkösdi Egyház,website,"Finance, Accounting",Controlling,full time,1-3 years,"Pest_county,_Budapest",Pénzügyi és kontrolling munkatárs,normal,,,none,none
5441,UNIX AUTÓ KFT.,karrierlink,"Manufacturing, Production",Leader,full time,not required,"Pest_county,_Budapest",Raktárautomatizálási műszakvezető,optimum,925000.0,2295.285359801489,none,none
5442,RB-TAK Kft.,website,"Manual Work, Unskilled Work, Trained Work",Cleaning,full time,not required,Pest_county,Takarító / Takarítónő,start,458181.0,1136.925558312655,none,none
5443,USRetail HU Kft.,website,"Sales, Trade","Merchant, Shop Assistant",full time,1-3 years,"Pest_county,_Budapest",Bolti eladó értékesítő,normal,757575.0,1879.8387096774193,english,basic
5444,Raiffeisen Bank Zrt.,ats,"Bank, Insurance, Brokering","Bank, Insurance, Stock Exchange Leader",full time,1-3 years,"Pest_county,_Budapest",PARTNER JELZÁLOGHITELEZÉSI SZAKÉRTŐ,normal,,,none,none
5445,Grafton Recruitment,website,"Administration, Assistance, Office Work","Administrator, Document Manager",full time,1-3 years,Pest_county,Kárrendező - Gépjárműbiztosítási terület,normal,,,none,none
5446,Indotek Group,karrierlink,"Sales, Trade",Sales Representative,full time,1-3 years,Pest_county,Értékesítési asszisztens – Retail portfólió,normal,,,none,none
5447,Grafton Recruitment,website,"Administration, Assistance, Office Work",Head of Office Administration,full time,5-10 years,Pest_county,Office Manager,normal,,,english,higheradvanced
5448,JOB Kft.,ats,"Finance, Accounting",Accounting,full time,1-3 years,"Pest_county,_Budapest",Finance Integration Assistant,normal,,,english,higheradvanced
5449,JOB Kft.,ats,"Finance, Accounting",Economist,full time,3-5 years,"Pest_county,_Budapest",Management Accountant,normal,,,english,higheradvanced
5450,Oktatási Hivatal,website,"Administration, Assistance, Office Work","Administrator, Document Manager",full time,starter,"Pest_county,_Budapest",Érettségi/középfokú felvételi vizsga tartalmi előkészítő,normal,,,none,none
5451,MINI MOBILI Kft.,website,Skilled Labour,Carpenter,full time,5-10 years,"Pest_county,_Budapest",Asztalos,start,530303.0,1315.8883374689826,none,none
5452,Jobb Kezek Iskolaszövetkezet,website,Skilled Labour,"Driver, Chauffeur, Courier",full time,not required,Országos,Courier Job – Student Work,normal,630000.0,1563.2754342431763,english,basic
5453,BUDAPEST II. KERÜLETI POLGÁRMESTERI,website,"Manual Work, Unskilled Work, Trained Work",Trained Work,full time,not required,"Pest_county,_Budapest",Parkolási ellenőr,start_prem,435000.0,1079.4044665012407,none,none
5454,BLURBY Kft.,website,Skilled Labour,Mechanician,full time,1-3 years,"Pest_county,_Budapest",Elektroműszerész,start,456000.0,1131.5136476426799,none,none
5455,Trenkwalder,karrierlink,"Manual Work, Unskilled Work, Trained Work",Machine Operator,full time,1-3 years,Pest_county,CNC gépkezelő pályakezdő,normal,,,none,none
5456,Búzakovász Kft.,website,Skilled Labour,"Baker, Confectioner",full time,not required,"Pest_county,_Budapest",PÉK / éjszakai műszak,start_prem,,,none,none
5457,Coca-Cola HBC Magyarország Kft.,karrierlink,"Sales, Trade",Regional Sales Representative,full time,1-3 years,Pest_county,Üzletfejlesztési képviselő - HoReCa Food aggregator (határozott idő),optimum,,,none,none
5458,Trenkwalder,karrierlink,"Manual Work, Unskilled Work, Trained Work",Other Manual Work,full time,1-3 years,Pest_county,Csiszoló lakatos,normal,,,none,none
5459,FÉLEGYHÁZI PÉKSÉG Kft.,website,Skilled Labour,"Shop Assistant, Cashier",full time,not required,"Pest_county,_Budapest",Bolti eladó- pénztáros,start_prem,475000.0,1178.6600496277915,none,none
5460,INTERFOOD-EUROPA Kft,website,"Manual Work, Unskilled Work, Trained Work",Cleaning,full time,not required,"Pest_county,_Budapest",Üzemi takarító / takarítónő,start,432727.0,1073.7642679900744,none,none
5461,Blue Line Parcel Kft.,website,Skilled Labour,"Driver, Chauffeur, Courier",full time,1-3 years,Pest_county,Csomagkézbesítő futár,start_prem,,,none,none
5462,Dobay Cukrászda Kopaszi Kft.,website,"Sales, Trade",Store Manager,full time,3-5 years,"Pest_county,_Budapest",Üzletvezető (Cukrászda),normal,,,none,none
5463,Securitas Kft.,website,Skilled Labour,"Security Guard, Guard, Doorman",full time,1-3 years,"Pest_county,_Budapest","Személy- és vagyonőr (Budapest, 18. kerület)",start,,,none,none
5464,RIKVEST KFT,website,"IT Operation, Telecommunication","System operator, Maintenance Staff",full time,1-3 years,"Pest_county,_Budapest",Desktop üzemeltető,normal,636363.0,1579.0645161290322,english,intermediate
5465,MMXH Lakberendezési Kft.,website,"Sales, Trade",Foreign Trade Assistant,full time,not required,"Pest_county,_Budapest",Beszerző Trainee,normal,,,english,intermediate
5466,Mind-Diák Szövetkezet,ats,"Marketing,  Media, PR",Marketing,full time,not required,Pest_county,Nyelvhelyesség-ellenőrző francia nyelven - Diákmunka,normal,344400.0,854.590570719603,english,intermediate
5467,KISS-CSODA KFT,website,Skilled Labour,"Driver, Chauffeur, Courier",full time,not required,"Pest_county,_Budapest",Szállító,start,606060.0,1503.8709677419354,none,none
5468,LIDL Magyarország Bt.,karrierlink,"Transportation, Procurement, Logistics","Storage, Stockpiling",full time,1-3 years,"Pest_county,_Budapest",Árugazdálkodási munkatárs,normal,,,english,intermediate
5469,H2 Diet Kft.,website,"Manufacturing, Production",Production Control,full time,1-3 years,"Pest_county,_Budapest",Termelési csoportvezető,normal,,,none,none
5470,IZOTÓP INTÉZET Kft.,website,"Manufacturing, Production",Laboratory Technician,full time,1-3 years,"Pest_county,_Budapest",Analitikai laboráns,normal,,,none,none
5471,IZOTÓP INTÉZET Kft.,website,"Manufacturing, Production",Quality Assurance,full time,not required,"Pest_county,_Budapest",Csomagoló,normal,,,none,none
5472,RVN shop Kft,website,"Client Services, Customer Services",Call Center Services,full time,not required,"Pest_county,_Budapest",Ügyfélszolgálatos munkatárs,normal,515151.0,1278.2903225806451,none,none
5473,Szociális és Gyermekvédelmi Főigazgatóság,website,"Building Industry, Real Estate",Facility Manager,full time,1-3 years,"Pest_county,_Budapest","Üzemeltetési referens (Beruházási, Beszerzési és Üzemeltetési Főosztály)",normal,,,none,none
5474,Leo Restaurants Kft.,website,Skilled Labour,"Waiter, Waitress, Barista",full time,not required,"Pest_county,_Budapest",Barback,start,719696.0,1785.8461538461538,none,none
5475,Grafton Recruitment,website,"Finance, Accounting",Accounting,full time,starter,Pest_county,Chartered Accountant (hybrid working model),normal,,,none,none
5477,Fővárosi Katasztrófavédelmi Igazgatóság,website,"Administration, Assistance, Office Work","Administrator, Document Manager",full time,not required,"Pest_county,_Budapest",Ügykezelő,normal,399500.0,991.3151364764268,none,none
5478,Búzakovász Kft.,website,Skilled Labour,"Baker, Confectioner",full time,not required,"Pest_county,_Budapest",PÉK / éjszakai műszak,start_prem,,,none,none
5479,Coca-Cola HBC Magyarország Kft.,karrierlink,"Sales, Trade",Regional Sales Representative,full time,1-3 years,Pest_county,Üzletfejlesztési képviselő - HoReCa Food aggregator (határozott idő),optimum,,,none,none
5480,OTP Faktoring ZRt.,website,"Client Services, Customer Services",Call Center Services,full time,1-3 years,"Pest_county,_Budapest",Követeléskezelési telefonos szakértő,normal,,,none,none
5482,Országos Kórházi Főigazgatóság,website,"Administration, Assistance, Office Work","Administrator, Document Manager",full time,1-3 years,"Pest_county,_Budapest",Praxiskezelői Szakreferens,normal,,,none,none
5483,GATA PRO Kft.,website,"Manual Work, Unskilled Work, Trained Work",Other Manual Work,full time,not required,"Pest_county,_Budapest",Szórólapterjesztő,start_prem,,,english,higheradvanced
5484,Chef Market Zrt.,website,Skilled Labour,"Driver, Chauffeur, Courier",full time,1-3 years,"Pest_county,_Budapest","Gépjárművezető (C kategória, emelőhátfalas gépjármű)",start_prem,,,none,none
5485,Magyar Energetikai és Közmű-szabályozási Hivatal,karrierlink,"Law, Legal Advisory","Solicitor, Legal Advisor, Legal Counsellor",full time,3-5 years,Budapest,Származási garancia szakértő,normal,,,english,intermediate
5486,Állatorvostudományi Egyetem,website,"Administration, Assistance, Office Work",Professional Assistant,full time,1-3 years,"Pest_county,_Budapest",Bérszámfejtési asszisztens,normal,,,none,none
5487,HMEI Zrt.,karrierlink,Skilled Labour,"Storekeeper, Other depository skilled work",full time,1-3 years,"Pest_county,_Budapest",Raktáros,normal,,,none,none
5488,Mind-Diák Szövetkezet,ats,"Marketing,  Media, PR",Marketing,full time,not required,Pest_county,Language Support Intern (French) - Diákmunka,normal,344400.0,854.590570719603,english,intermediate
5489,HELL Automata Üzemeltető Kft.,karrierlink,"Manufacturing, Production","Repairman, Service Representative",full time,not required,Pest_county,Szerviz technikus,normal,,,none,none
5490,Ben-Ta System Kft.,website,"HR, Human Relations","Payroll Assistance, Social Insurance Assistance",full time,1-3 years,"Pest_county,_Budapest",Bérszámfejtő,normal,757575.0,1879.8387096774193,none,none
5491,STAND 98. Kft.,website,Skilled Labour,"Storekeeper, Other depository skilled work",full time,1-3 years,"Pest_county,_Budapest",Projekt raktáros,start,719696.0,1785.8461538461538,none,none
5492,Csillag Különleges Gyermekotthon,website,Skilled Labour,Child-carer,full time,not required,"Pest_county,_Budapest",Kisgyermeknevelő,normal,348000.0,863.5235732009926,none,none
5493,Grafton Recruitment,website,"Finance, Accounting","Auditor, Internal Auditor",full time,starter,Pest_county,Senior Audit Manager - Budapest,normal,,,english,higheradvanced
5494,Bonafarm Zrt.,karrierlink,"Finance, Accounting",Controlling,full time,10+ years,"Pest_county,_Budapest",Senior Finance Controller,normal,,,none,none
5495,MADS - Márton Áron Iskolaszövetkezet,website,"Catering, Hotel, Tourism",Hotel Receptionist,full time,not required,"Pest_county,_Budapest",Éjszakai recepciós,normal,310800.0,771.2158808933002,none,none
5496,NOVA-BUSZ Kft.,website,Skilled Labour,"Car Repairer, Car Service  Advisor",full time,1-3 years,"Pest_county,_Budapest",Autóbuszszerelő,start,550000.0,1364.7642679900744,none,none
5497,Bonafarm Zrt.,karrierlink,"Finance, Accounting",Controlling,full time,1-3 years,"Pest_county,_Budapest",Group Procurement Controller,normal,,,english,intermediate
5498,INNOVATÍV RAKTÁRLOGISZTIKA Korlátolt,website,Skilled Labour,"Driver, Chauffeur, Courier",full time,not required,Országos,Gépjármű vezető,normal,757575.0,1879.8387096774193,none,none
5499,Országos Kórházi Főigazgatóság,website,Engineer,Electrical Engineer,full time,1-3 years,"Pest_county,_Budapest",Praxisközösségi szakreferens,normal,,,none,none
5500,Búzakovász Kft.,website,Skilled Labour,"Baker, Confectioner",full time,not required,"Pest_county,_Budapest",PÉK / éjszakai műszak,start_prem,,,none,none
5501,Coca-Cola HBC Magyarország Kft.,karrierlink,"Sales, Trade",Regional Sales Representative,full time,1-3 years,Pest_county,Üzletfejlesztési képviselő - HoReCa Food aggregator (határozott idő),optimum,,,none,none
5502,Bonafarm Zrt.,karrierlink,"Finance, Accounting",Accounting,full time,10+ years,"Pest_county,_Budapest",Pénzügyi-számviteli senior szakértő,normal,,,none,none
5504,Easyget Textile Kft.,website,"Manual Work, Unskilled Work, Trained Work","Handling, Loading",full time,not required,"Pest_county,_Budapest","Kézi anyagmozgató, bálázó",start_prem,485000.0,1203.4739454094292,none,none
5505,PINOKKIO ABC Kft,website,Skilled Labour,"Shop Assistant, Cashier",full time,not required,"Pest_county,_Budapest","Eladó, pénztáros",start,559090.0,1387.320099255583,none,none
5506,Pro-M Zrt.,karrierlink,"IT Operation, Telecommunication",IT Security,full time,1-3 years,"Pest_county,_Budapest",Kiberbiztonsági szakértő,normal,,,english,intermediate
5507,Rail Cargo Operator - Hungaria Kft.,website,"Transportation, Procurement, Logistics",Logistics administrator,full time,not required,"Pest_county,_Budapest",Rail operating – terminal agent (vasúti operátor),normal,,,english,intermediate
5508,MADS - Márton Áron Iskolaszövetkezet,website,"Catering, Hotel, Tourism",Hotel Receptionist,full time,not required,"Pest_county,_Budapest",Recepciós diákmunka francia nyelvtudással hotelben - II. kerület,normal,378000.0,937.9652605459057,english,intermediate
5509,Revolution Nagymező Kft.,website,"Sales, Trade",Real Estate Agent,full time,starter,"Pest_county,_Budapest",Értékesítési asszisztens / Ingatlanközvetítő,pro_plus,,,english,intermediate
5510,Adecco Kft.,website,"Healthcare, Pharmaceutical Industry","Medical, Pharmaceutical Manager",full time,1-3 years,"Pest_county,_Budapest",Medical sales representative,normal,825000.0,2047.1464019851117,english,higheradvanced
5511,Trenkwalder,karrierlink,"Building Industry, Real Estate",Building Mechanical Engineer,full time,1-3 years,Pest_county,Épületgépész mérnök,normal,,,german,intermediate
5512,NIVERSO Kft.,website,"Sales, Trade",Sales Representative,full time,3-5 years,Országos,Értékesítő üzletkötő,optimum,,,none,none
5513,NISZ Nemzeti Infokommunikációs Szolgáltató Zártkörűen Működő Részvénytársaság,karrierlink,"IT Operation, Telecommunication","System operator, Maintenance Staff",full time,not required,"Pest_county,_Budapest",IT L2 Szolgáltatásüzemeltető,normal,,,none,none
5514,UnoMas Pozsonyi Kft.,website,Skilled Labour,"Waiter, Waitress, Barista",full time,3-5 years,"Pest_county,_Budapest",Felszolgáló,start_prem,871212.0,2161.8163771712157,english,basic
5515,Liszt Ferenc Zeneművészeti Egyetem,website,"Marketing,  Media, PR",Event Coordinator,full time,1-3 years,"Pest_county,_Budapest","Ügyvivő szakértő, koncert- és rendezvényszervező",normal,,,english,intermediate
5516,Magyar Máltai Szeretetszolgálat Egyesület,ats,"Marketing,  Media, PR",Event Coordinator,full time,1-3 years,Pest_county,Fete koordinátor,normal,,,maltese,intermediate
5517,Grafton Recruitment,website,"Finance, Accounting","Auditor, Internal Auditor",full time,starter,Pest_county,Senior auditor - Budapest,normal,,,english,higheradvanced
5518,Magyar Posta Zrt.,ats,"Manual Work, Unskilled Work, Trained Work",Trained Work,full time,starter,"Pest_county,_Budapest",Kerékpáros kézbesítő,start_prem,,,none,none
5519,NEW YORKER HUNGARY Kft.,website,"Sales, Trade","Merchant, Shop Assistant",full time,1-3 years,"Pest_county,_Budapest","Vezető utánpótlás program (Első eladó)
- Etele Pláza",normal,,,none,none
5520,Semmelweis Egyetem Belgyógyászati és Hematológiai Klinika,website,Skilled Labour,"Nurse, Health Worker",full time,not required,"Pest_county,_Budapest",Ápoló,start_prem,,,none,none
5521,BKV Zrt.,karrierlink,"IT Operation, Telecommunication","System operator, Maintenance Staff",full time,not required,"Pest_county,_Budapest",Informatikai/elektronikai rendszerek üzemeltetése,normal,,,none,none
